Scheme,Report Name,Type
01.BHIMA GOLD TREE FPL 500,FUTURE PLUS,Cash Scheme
02.BHIMA GOLD TREE FPL 1000,FUTURE PLUS,Cash Scheme
03.BHIMA GOLD TREE FPL 2000,FUTURE PLUS,Cash Scheme
04.BHIMA GOLD TREE FPL 5000,FUTURE PLUS,Cash Scheme
05.BHIMA GOLD TREE FPL 10000,FUTURE PLUS,Cash Scheme
BGT GOLD TREE WT 1000,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 10000,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 100000,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 2000,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 25000,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 500,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 5000,GOLD TREE,Weight Scheme
BGT GOLD TREE WT 50000,GOLD TREE,Weight Scheme
BHIMA GOLD TREE FPL COIN 1000,FUTURE PLUS,Cash Scheme
BHIMA GOLD TREE FPL COIN 10000,FUTURE PLUS,Cash Scheme
BHIMA GOLD TREE FPL COIN 2000,FUTURE PLUS,Cash Scheme
BHIMA GOLD TREE FPL COIN 5000,FUTURE PLUS,Cash Scheme
BHIMA GOLDEN SIX 6 M - 1000,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M - 10000,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M - 100000,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M - 2500,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M - 25000,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M - 5000,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M - 50000,BHIMA GOLDEN SIX,Weight Scheme
BHIMA GOLDEN SIX 6 M 10000,BHIMA GOLDEN SIX,Weight Scheme
BSP 11 - 1000,FUTURE PLUS,Cash Scheme
DIA FUTURE PLUS 10000 (18),FUTURE PLUS 18 M,Cash Scheme
DIA FUTURE PLUS 10000 (6),FUTURE PLUS 6 M,Cash Scheme
DIA FUTURE PLUS 2500 (18),FUTURE PLUS 18 M,Cash Scheme
DIA FUTURE PLUS 5000 (11),FUTURE PLUS,Cash Scheme
DIA FUTURE PLUS 5000 (6),FUTURE PLUS 6 M,Cash Scheme
FPL NEW 1000,FUTURE PLUS,Cash Scheme
FPL NEW 10000,FUTURE PLUS,Cash Scheme
FPL NEW 2000,FUTURE PLUS,Cash Scheme
FPL NEW 500,FUTURE PLUS,Cash Scheme
FPL NEW 5000,FUTURE PLUS,Cash Scheme
FUTURE PLUS,FUTURE PLUS,Cash Scheme
FUTURE PLUS 1000,FUTURE PLUS,Cash Scheme
FUTURE PLUS 1000 (11),FUTURE PLUS,Cash Scheme
FUTURE PLUS 10000,FUTURE PLUS,Cash Scheme
FUTURE PLUS 2500,FUTURE PLUS,Cash Scheme
FUTURE PLUS 2500 (11),FUTURE PLUS,Cash Scheme
FUTURE PLUS 500 (18),FUTURE PLUS 18 M,Cash Scheme
FUTURE PLUS 5000,FUTURE PLUS,Cash Scheme
FUTURE PLUS CASH,FUTURE PLUS,Cash Scheme
FUTURE SPARK +,FUTURE SPARK +,Cash Scheme
GOLD TREE,GOLD TREE,Weight Scheme
GOLD TREE - 1000 15M,GOLD TREE 15 M,Weight Scheme
GOLD TREE - 10000 15 M,GOLD TREE 15 M,Weight Scheme
GOLD TREE 15 M,GOLD TREE 15 M,Weight Scheme
GOLD TREE 15 M - 1000,GOLD TREE 15 M,Weight Scheme
GOLD TREE 15 M - 10000,GOLD TREE 15 M,Weight Scheme
GOLD TREE 15 M - 2500,GOLD TREE 15 M,Weight Scheme
GOLD TREE 15 M - 5000,GOLD TREE 15 M,Weight Scheme
GOLD TREE 6 M,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 M - 1000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 M - 10000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 M - 5000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 M - WT 1000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 M - WT 10000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 MONTH - 1000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 MONTH - 10000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 MONTH - 2500,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 MONTH - 25000,GOLD TREE 6 M,Weight Scheme
GOLD TREE 6 MONTH - 5000,GOLD TREE 6 M,Weight Scheme
GOLD TREE FU GOLD - 1000 (15),GOLD TREE 15 M,Weight Scheme
GOLD TREE FU GOLD - 1000 (18),GOLD TREE 18 M,Weight Scheme
GOLD TREE FU GOLD - 10000 (15),GOLD TREE 15 M,Weight Scheme
GOLD TREE FU GOLD - 10000 (18),GOLD TREE 18 M,Weight Scheme
GOLD TREE FU GOLD - 2500 (15),GOLD TREE 15 M,Weight Scheme
GOLD TREE FU GOLD - 2500 (18),GOLD TREE 18 M,Weight Scheme
GOLD TREE FU GOLD - 2500 (6),GOLD TREE 6 M,Weight Scheme
GOLD TREE FU GOLD - 500 (18),GOLD TREE 18 M,Weight Scheme
GOLD TREE FU GOLD - 5000 (15),GOLD TREE 15 M,Weight Scheme
GOLD TREE FU GOLD - 5000 (18),GOLD TREE 18 M,Weight Scheme
GOLD TREE FU GOLD 10000 (6),GOLD TREE 6 M,Weight Scheme
GOLD TREE FUTURE,GOLD TREE,Weight Scheme
GOLD TREE FUTURE GOLD - 1000,GOLD TREE,Weight Scheme
GOLD TREE FUTURE GOLD - 10000,GOLD TREE,Weight Scheme
GOLD TREE FUTURE GOLD - 2500,GOLD TREE,Weight Scheme
GOLD TREE FUTURE GOLD - 25000,GOLD TREE,Weight Scheme
GOLD TREE FUTURE GOLD - 5000,GOLD TREE,Weight Scheme
GOLD TREE FUTURE GOLD - 50000,GOLD TREE,Weight Scheme
LUCKY DRAW 1000 (18),LUCKY DRAW 18 M,Cash Scheme
LUCKY DRAW 500 (18),LUCKY DRAW 18 M,Cash Scheme
ONE TIME DEPOSIT,ONE TIME DEPOSIT,Weight Scheme
ONE TIME DEPOSIT SCHEMES,ONE TIME DEPOSIT,Weight Scheme
SILVER TREE 1000,SILVER TREE PLUS,Cash Scheme
SILVER TREE 500,SILVER TREE PLUS,Cash Scheme
SILVER TREE 5000,SILVER TREE PLUS,Cash Scheme
SILVER TREE PLUS 1000,SILVER TREE PLUS,Cash Scheme
SILVER TREE PLUS 2500,SILVER TREE PLUS,Cash Scheme
SILVER TREE PLUS 500,SILVER TREE PLUS,Cash Scheme
SILVER TREE PLUS 5000,SILVER TREE PLUS,Cash Scheme
